149	263	18	8.86
177	1526	4	6.69
5247	883	3	23.04
813	326	6	20.02
109	8597	5	8.93
8	5565	4	7.76
2529	225	5	20.98
151	5703	5	20.95
360	2247	24	221.16
282	21	77	202
757	277	4	7.6
1263	105	23	7.91
128	1881	9	11.88
12	306	148	9.95
101	1048	41	9.62
132	4980	4	9.28
1433	972	3	15.08
508	351	5	10.46
3337	174	3	7.39
12	2738	19	7.47
155	2421	6	16.03
118	15147	3	12.79
218	2575	4	13.99
2699	1373	3	20.8
3573	4829	3	32.16
659	129	20	23.11
678	15494	3	35.09
101	273	201	82.04
113	9308	4	8.4
5082	1035	3	23.98
2461	12	22	9.91
934	417	3	7.78
389	892	3	7.1
993	779	3	11.93
487	1553	3	11.49
3066	805	3	18.93
109	11306	4	8.58
1030	156	7	10.68
16	62	13	11.37
146	428	13	11.53
109	12791	4	13.16
1255	111	24	22.77
870	178	7	12.5
18450	8	3	15.17
14007	114	3	7.99
2755	341	4	19.16
684	443	3	6.65
151	120	113	13.99
151	2596	4	8.12
2276	284	3	10.59
1259	290	3	6.86
105	19644	3	7.92
754	473	3	7.28
6755	142	3	9.19
123	3304	5	7.04
2043	350	8	45.8
477	137	20	22.56
104	4787	9	10.17
143	11155	3	13.9
4466	583	3	19.54
12	8010	7	8.18
1296	599	3	11.59
159	3014	4	9.85
1741	111	13	6.73
627	296	6	14.82
246	3209	3	11
105	207	186	66.9
104	579	46	14.12
103	950	28	6.88
101	1689	28	7.23
1264	1989	3	18.43
212	252	12	11.92
1843	176	4	7.6
159	2129	4	7.2
154	1330	7	13.43
129	198	47	11.75
217	3596	4	16.42
184	134	42	9.45
103	123	716	46.32
12	1658	29	6.96
105	4320	10	14.22
1436	648	3	12.66
10383	556	5	55.86
17449	115	3	12.32
8	16	294	29.68
176	809	9	17.1
104	18311	3	7.91
1797	105	17	6.89
14649	102	4	7.24
9367	174	3	16.65
933	184	5	7.16
11003	120	3	7.79
2755	4654	4	42.09
582	827	3	9.14
583	1689	3	13.11
553	116	28	12.22
2044	310	3	10.15
1571	114	32	92.6
2803	110	12	13.63
110	2598	13	14.67
107	3760	16	42.19
254	1983	4	13.19
222	648	6	10.47
673	343	4	8.41
110	119	863	156.98
111	492	40	13.79
108	1419	20	13.87
505	506	5	13.62
7556	129	3	6.73
885	176	10	22.61
258	4902	3	15.07
1875	142	5	7.1
120	1283	26	58.1
116	859	18	7.93
118	4150	6	8.48
132	14096	3	13.39
774	111	30	16.11
1484	277	4	12.13
1386	1580	3	18.14
463	648	4	10.7
12	9866	6	7.01
1383	366	3	9.23
428	290	9	21.19
117	4776	7	14.45
1514	129	9	10.28
1097	1051	3	13.94
116	196	143	107.16
142	125	105	15.07
746	14	83	9.23
230	1989	6	24.13
372	337	5	6.84
123	9863	3	7.95
255	257	8	6.8
831	762	3	10.8
9	12602	4	20.47
344	4188	3	15.46
18670	103	3	7.87
533	1129	3	10.22
1075	119	15	9.76
405	751	5	15.23
404	106	57	13
342	170	10	7
1782	252	3	7.79
138	2277	5	7.13
642	858	3	9.96
603	824	3	9.59
2442	151	5	11.14
295	4075	3	14.73
5848	164	3	11.05
21	420	24	33.59
13	2646	4	8.53
229	105	131	24.5
2271	101	22	7.76
1314	183	6	13.93
127	14001	3	12
291	181	20	29.73
173	623	7	6.71
141	387	14	7.9
174	219	20	14.98
1248	973	3	14.45
116	3197	7	7.95
120	3026	7	9.02
365	1249	3	8.8
326	6064	4	26.78
907	606	3	10.15
2057	134	6	7.61
2295	107	19	29.61
195	3075	3	8.28
253	111	73	8.57
289	147	18	13.51
5711	239	3	14.57
5266	12	11	7.6
671	1341	3	12.96
10668	119	5	22.16
1722	57	6	7.14
1048	489	3	10.21
110	5570	7	11.14
889	237	7	19.33
984	2916	4	28.67
1868	693	3	14.73
1377	2126	3	19.45
1600	275	3	8.2
2111	105	16	8.62
10870	123	3	9.39
966	400	3	7.66
965	260	16	78.14
150	2665	4	8.37
7696	127	4	11.27
2736	7118	4	47.43
16911	104	3	7.91
104	4207	13	23.74
8015	106	5	7.12
101	1112	44	15.53
103	386	82	39.46
630	108	38	15.53
3183	410	3	15.19
130	1587	9	11.8
217	1421	4	9.16
1234	119	14	10.26
185	3095	3	7.69
12	1205	42	12.89
105	2251	15	9
12	3569	15	8.47
1369	1231	5	32.96
513	699	5	17.18
781	673	3	9.63
2755	2633	4	36.17
16540	13	3	21.82
12317	121	3	10.65
8640	12	7	8.18
153	656	11	16.07
5689	140	3	7.14
1985	293	3	9.6
122	2845	7	10.37
6749	815	3	24.56
337	216	8	7.47
111	15520	3	10.33
1706	237	3	6.94
715	693	5	20.57
124	103	640	8.4
181	4758	3	10.13
7546	105	6	8.08
1919	162	5	10.72
10427	129	3	10.2
15297	109	3	9.87
104	1661	18	6.7
12	743	59	8.26
101	479	79	6.87
7465	106	5	7.12
1744	196	4	9.22
18054	7	3	20.89
1880	2025	5	40.6
385	625	4	9.18
414	1015	6	24.75
575	3415	3	17.33
2422	225	3	9
8017	254	3	18.26
8177	114	4	7.56
132	7189	3	7.73
12	4792	12	8.6
5490	2087	3	29.55
787	7938	3	26.29
12	576	77	16.02
1615	247	3	6.8
17	522	9	8.95
1746	114	12	9.22
215	296	12	15.65
793	535	3	8.34
105	3412	13	16.16
103	3676	10	7.6
1059	252	4	8.66
522	178	7	6.83
937	484	7	32.84
9	7894	4	11.4
107	9151	5	10.48
16	4066	7	16.81
5659	5788	3	36.92
689	2310	3	16.3
148	108	208	11.67
5410	104	8	10.07
16	1696	9	7.13
106	7163	5	7.12
106	4800	9	14.07
499	929	3	8.89
4336	151	3	7.53
140	105	502	139.63
133	1266	8	8.69
133	3510	4	6.7
112	3404	18	61.75
253	402	6	7.43
4789	118	7	13.42
591	106	53	34.56
103	9491	5	8.34
365	1518	3	9.7
879	534	5	19.84
462	635	4	10.49
118	2170	13	19.6
265	397	6	8.47
7	2978	6	17.61
1757	856	3	15.65
330	224	8	9.22
1190	173	5	7.08
2	468	15	7.26
120	111	645	45.32
4479	4308	5	61.43
12147	1346	3	34.45
710	453	3	6.65
7	4794	4	13.08
944	2936	5	37.91
6529	111	7	18.47
1610	191	4	8.54
972	121	15	13.27
101	8930	5	6.8
403	6953	3	20.03
4308	13	7	31.91
166	3457	3	7.22
737	206	5	6.73
165	4084	3	8.54
223	635	10	26.72
8687	126	3	6.84
14631	118	3	8.54
124	9051	3	7.92
1359	321	3	8.19
1391	1526	3	18.43
9387	133	3	11.77
609	111	45	36.02
138	4002	4	8.16
1850	622	3	14.41
2294	118	9	8.01
107	3189	10	7.91
403	1681	3	10.65
918	402	3	7.43
10823	125	3	11.63
505	1085	3	9.56
1042	105	28	9.69
2306	115	10	9.52
3353	132	5	9.23
5271	8	4	6.97
144	3140	4	8.6
3742	172	3	7.98
103	15190	3	7.87
144	648	15	25.03
114	686	27	16.36
4382	258	5	29.29
4777	8573	3	37.66
3142	189	3	8.29
3043	180	3	7.54
3459	2915	3	27.83
8446	101	7	9.52
2633	2755	4	36.17
2985	261	21	196.99
5632	208	3	13.46
266	5663	4	23.6
227	5249	3	13.91
232	121	44	9.65
12790	106	4	11.53
120	1492	10	6.7
266	4050	3	13.61
199	361	26	77.37
468	458	4	8.26
1015	561	3	10.02
111	254	77	12.16
112	658	25	8.78
9618	12	6	7.01
165	1082	6	9.01
2266	9	7	7.72
219	486	7	10.11
731	299	5	12.17
854	102	41	7.97
1521	9	9	8.41
138	161	59	20.55
114	16776	3	12.21
195	117	85	13.55
19082	115	3	12.32
285	1212	5	16.18
287	408	6	9.54
1783	146	5	8.07
164	3672	3	7.42
1067	718	4	18.13
369	281	7	10.75
973	1248	3	14.45
908	846	3	11.7
944	802	3	11.65
233	1910	3	7.65
292	287	9	14.02
114	3473	7	7.51
118	777	47	97.73
1215	118	14	8.35
266	2681	3	10.69
5833	15980	3	49.8
169	1685	5	9.42
265	360	6	6.84
115	1727	12	9.53
118	546	32	20.7
201	1314	8	25.91
119	17	107	12.48
126	15496	3	15.8
14356	118	3	8.54
114	5290	5	6.87
3558	119	8	14.04
101	10314	5	6.8
636	1179	4	17.67
138	899	9	8.17
140	133	76	6.94
642	438	4	10.06
163	122	78	9.7
14352	115	3	8.1
107	159	206	14.24
110	2118	13	9.51
